System,3wrobotNI
Controller,MPC
dt,0.1
state_init,[-3.   -3.    1.57]
Nactor,6
pred_step_size_multiplier,5.0
buffer_size,25
run_obj_struct,quadratic
R1_diag,"[100, 100, 10, 0, 0]"
R2_diag,"[1, 10, 1, 0, 0]"
Ncritic,25
gamma,0.9
critic_period_multiplier,1.0
critic_struct,quad-mix
actor_struct,quad-nomix
t [s],x [m],y [m],alpha [rad],run_obj,accum_obj,v [m/s],omega [rad/s]
0.0001,-3.0,-3.0,1.57,452.5939559999999,45.25939559999999,-0.22000000000000003,-0.284
0.0011,-3.0000001847690716,-3.0001999478407635,1.5697418854166667,452.62316647778596,90.5217122477786,-0.22000000000000003,-0.284
0.009625025278351221,-3.00000443277506,-3.0020754481330694,1.567320778237615,452.89764024572986,135.81147627235157,-0.22000000000000003,-0.284
0.05962502527835122,-3.0001207606633944,-3.0130747405936202,1.553120778237615,454.5248394259639,181.26396021494796,-0.22000000000000003,-0.284
0.10962502527835122,-3.0003932615277176,-3.0240712723236376,1.538920778237615,464.5226892335888,227.71622913830683,2.1958934557565724,-1.91005089068639
0.1596250252783512,-2.992825183246266,-2.9251977430667107,1.4508286218769966,448.4197565019944,272.55820478850626,2.1958934557565724,-1.91005089068639
0.2096250252783512,-2.974503709217966,-2.81698483206971,1.3553260773426772,429.8840477565279,315.54660956415904,2.1958934557565724,-1.91005089068639
0.2596250252783512,-2.9459468187258313,-2.7110121255720716,1.2598235328083578,409.75066036054886,356.52167560021394,2.19667854020699,-1.622767181001032
