System,3wrobotNI
Controller,N_CTRL
dt,0.1
state_init,[-3.   -3.    1.57]
Nactor,6
pred_step_size_multiplier,5.0
buffer_size,25
run_obj_struct,quadratic
R1_diag,"[100, 100, 10, 0, 0]"
R2_diag,"[1, 10, 1, 0, 0]"
Ncritic,25
gamma,0.9
critic_period_multiplier,1.0
critic_struct,quad-mix
actor_struct,quad-nomix
t [s],x [m],y [m],alpha [rad],run_obj,accum_obj,v [m/s],omega [rad/s]
0.0001,-3.0,-3.0,1.57,20.593955999999995,2.0593955999999998,-0.22000000000000003,-0.284
0.0011,-3.000000184781474,-3.0001999608402365,1.5697418854166667,20.594346500546102,4.11883025005461,-0.22000000000000003,-0.284
0.009625022750868179,-3.00000443538609,-3.00207646630677,1.5673207789554202,20.59804014603458,6.1786342646580685,-0.22000000000000003,-0.284
0.05962502275086818,-3.000121230965948,-3.013113831578973,1.5531207789554202,20.62082251656824,8.240716516314892,-0.22000000000000003,-0.284
